Designator,Mid X,Mid Y,Layer,Rotation
AE1,155.900000mm,-106.450000mm,Top,180
C1,179.350000mm,-111.050000mm,Top,90
C2,184.650000mm,-100.800000mm,Top,0
C3,169.250000mm,-101.150000mm,Top,180
C4,168.900000mm,-100.150000mm,Top,180
C5,184.650000mm,-96.550000mm,Top,0
C6,170.260000mm,-61.910000mm,Top,0
C7,187.050000mm,-77.000000mm,Top,180
C8,163.400000mm,-77.500000mm,Top,0
C9,164.350000mm,-83.250000mm,Top,180
C10,164.350000mm,-82.100000mm,Top,180
C11,171.450000mm,-84.450000mm,Top,90
C12,169.050000mm,-83.250000mm,Top,0
C13,166.700000mm,-83.250000mm,Top,180
C16,171.850000mm,-59.750000mm,Top,270
C17,192.500000mm,-77.000000mm,Top,0
C18,190.700000mm,-83.200000mm,Top,180
C19,168.650000mm,-90.450000mm,Top,90
C20,160.300000mm,-83.250000mm,Top,0
C21,155.300000mm,-77.500000mm,Top,0
C22,156.250000mm,-82.100000mm,Top,180
C23,156.250000mm,-83.250000mm,Top,180
C31,155.000000mm,-84.450000mm,Top,180
C35,183.000000mm,-93.700000mm,Top,90
C36,187.200000mm,-94.850000mm,Top,0
C37,186.900000mm,-90.150000mm,Top,0
C38,175.150000mm,-63.100000mm,Top,270
C39,182.150000mm,-67.500000mm,Top,90
C40,175.450000mm,-65.700000mm,Top,180
C41,175.450000mm,-64.700000mm,Top,180
C42,126.500000mm,-100.500000mm,Top,90
C43,133.950000mm,-93.450000mm,Top,90
C44,132.300000mm,-93.700000mm,Top,180
C45,132.850000mm,-86.900000mm,Top,180
C46,132.850000mm,-86.100000mm,Top,180
C47,134.350000mm,-92.200000mm,Top,180
C48,130.000000mm,-86.300000mm,Top,0
C49,130.000000mm,-93.700000mm,Top,0
C50,125.800000mm,-93.200000mm,Top,90
C51,110.200000mm,-93.100000mm,Top,270
C52,125.200000mm,-90.100000mm,Top,0
C53,110.250000mm,-84.900000mm,Top,270
C54,130.000000mm,-84.700000mm,Top,180
C55,130.000000mm,-95.300000mm,Top,180
C56,127.600000mm,-86.300000mm,Top,180
C57,137.150000mm,-72.400000mm,Top,90
C58,141.000000mm,-82.000000mm,Top,180
C59,141.000000mm,-94.000000mm,Top,180
C60,125.800000mm,-88.300000mm,Top,270
C61,110.250000mm,-73.900000mm,Top,270
C62,133.950000mm,-113.450000mm,Top,90
C63,132.300000mm,-113.700000mm,Top,180
C64,132.850000mm,-106.900000mm,Top,180
C65,132.850000mm,-106.100000mm,Top,180
C66,134.250000mm,-112.200000mm,Top,180
C67,130.000000mm,-106.300000mm,Top,0
C68,130.000000mm,-113.700000mm,Top,0
C69,127.600000mm,-113.700000mm,Top,180
C70,137.050000mm,-127.600000mm,Top,270
C71,125.800000mm,-111.700000mm,Top,90
C72,110.250000mm,-126.100000mm,Top,90
C73,130.000000mm,-104.700000mm,Top,180
C74,130.000000mm,-115.300000mm,Top,180
C75,125.800000mm,-106.800000mm,Top,270
C76,110.250000mm,-106.900000mm,Top,90
C77,141.000000mm,-106.000000mm,Top,180
C78,141.000000mm,-118.000000mm,Top,180
C79,125.200000mm,-109.900000mm,Top,0
C80,110.250000mm,-115.100000mm,Top,90
C81,161.200000mm,-100.600000mm,Top,270
C82,162.200000mm,-100.250000mm,Top,270
C83,166.600000mm,-89.300000mm,Top,270
C84,168.600000mm,-103.200000mm,Top,0
C85,155.900000mm,-100.250000mm,Top,90
C86,155.400000mm,-103.850000mm,Top,0
C87,155.400000mm,-101.450000mm,Top,0
C88,165.000000mm,-85.200000mm,Top,90
C89,164.000000mm,-85.550000mm,Top,90
C90,159.900000mm,-71.800000mm,Top,90
C91,158.250000mm,-71.800000mm,Top,90
C92,188.950000mm,-87.850000mm,Top,0
C93,153.900000mm,-71.800000mm,Top,90
C94,153.000000mm,-71.800000mm,Top,90
C95,188.950000mm,-89.025000mm,Top,180
C96,147.770000mm,-67.110000mm,Top,270
C97,168.900000mm,-102.150000mm,Top,0
C98,173.100000mm,-84.450000mm,Top,90
C100,184.450000mm,-89.950000mm,Top,0
C101,189.450000mm,-135.450000mm,Top,0
C102,174.700000mm,-84.450000mm,Top,90
C103,184.450000mm,-111.200000mm,Top,0
C104,184.450000mm,-94.000000mm,Top,0
C105,183.910000mm,-84.100000mm,Top,0
C106,183.910000mm,-86.700000mm,Top,0
C107,174.600000mm,-85.900000mm,Top,180
C108,184.450000mm,-93.200000mm,Top,0
C109,180.270000mm,-85.100000mm,Top,270
C110,175.150000mm,-137.250000mm,Top,270
C111,186.150000mm,-88.900000mm,Top,180
C112,189.450000mm,-136.650000mm,Top,180
C113,175.500000mm,-84.450000mm,Top,90
C115,184.400000mm,-80.800000mm,Top,270
C116,188.350000mm,-69.950000mm,Top,270
C117,167.000000mm,-101.950000mm,Top,270
C118,162.200000mm,-101.950000mm,Top,90
C119,189.150000mm,-134.400000mm,Top,0
C120,174.250000mm,-137.250000mm,Top,270
C123,170.700000mm,-76.600000mm,Top,270
C124,169.400000mm,-76.599999mm,Top,270
C125,168.099999mm,-76.600000mm,Top,270
C126,166.800000mm,-76.600000mm,Top,270
C127,170.700000mm,-79.100000mm,Top,90
D1,185.300000mm,-108.800000mm,Top,180
D2,185.300000mm,-107.100000mm,Top,180
D3,179.850000mm,-60.100000mm,Top,0
D4,179.050000mm,-70.900000mm,Top,0
D5,174.250000mm,-60.300000mm,Top,270
D6,185.600000mm,-85.450000mm,Top,0
D7,158.700000mm,-77.500000mm,Top,0
D8,183.750000mm,-57.150000mm,Top,90
FB1,170.020000mm,-60.570000mm,Top,180
J7,179.400000mm,-115.350000mm,Top,0
L1,177.450000mm,-78.050000mm,Top,180
L2,167.800000mm,-80.300000mm,Top,270
L3,159.700000mm,-80.300000mm,Top,270
L4,117.300000mm,-94.500000mm,Top,180
L5,117.300000mm,-83.500000mm,Top,0
L6,130.000000mm,-71.000000mm,Top,0
L7,117.300000mm,-72.500000mm,Top,0
L8,130.000000mm,-129.000000mm,Top,0
L9,117.300000mm,-127.500000mm,Top,0
L10,117.300000mm,-105.500000mm,Top,180
L11,117.300000mm,-116.500000mm,Top,0
L12,186.149999mm,-132.850000mm,Top,180
L13,167.900000mm,-85.900000mm,Top,0
Q1,178.950000mm,-65.500000mm,Top,180
R1,184.650000mm,-99.100000mm,Top,180
R2,184.650000mm,-99.950000mm,Top,180
R3,184.650000mm,-98.250000mm,Top,180
R4,184.650000mm,-97.400000mm,Top,180
R5,182.500000mm,-111.200000mm,Top,0
R6,182.500000mm,-110.300000mm,Top,0
R7,161.100000mm,-77.500000mm,Top,180
R8,171.360000mm,-81.360000mm,Top,270
R9,182.410000mm,-91.550000mm,Top,0
R10,182.400000mm,-90.750000mm,Top,0
R11,182.400000mm,-89.950000mm,Top,0
R12,168.050000mm,-97.950000mm,Top,180
R13,182.400000mm,-89.150000mm,Top,0
R14,182.400000mm,-88.350000mm,Top,0
R15,182.400000mm,-87.500000mm,Top,0
R16,162.300000mm,-83.700000mm,Top,180
R17,190.700000mm,-76.050000mm,Top,180
R18,190.700000mm,-84.150000mm,Top,0
R19,162.700000mm,-82.400000mm,Top,90
R20,192.500000mm,-76.050000mm,Top,180
R21,192.500000mm,-84.150000mm,Top,0
R22,192.500000mm,-83.200000mm,Top,0
R23,154.200000mm,-83.400000mm,Top,180
R24,154.200000mm,-82.500000mm,Top,0
R25,184.450000mm,-90.750000mm,Top,0
R26,182.150000mm,-63.900000mm,Top,90
R27,182.150000mm,-65.700000mm,Top,90
R28,175.450000mm,-67.700000mm,Top,0
R29,175.450000mm,-66.700000mm,Top,0
R30,168.650000mm,-68.700000mm,Top,0
R31,188.050000mm,-85.900000mm,Top,180
R32,188.050000mm,-85.050000mm,Top,180
R33,168.650000mm,-67.700000mm,Top,0
R34,168.650000mm,-66.700000mm,Top,0
R35,171.860000mm,-61.460000mm,Top,90
R36,170.540000mm,-81.360000mm,Top,270
R37,168.900000mm,-94.700000mm,Top,0
R38,168.900000mm,-96.920000mm,Top,0
R39,168.900000mm,-93.810000mm,Top,0
R40,134.350000mm,-91.400000mm,Top,0
R41,134.350000mm,-90.150000mm,Top,180
R42,157.700000mm,-85.550000mm,Top,90
R43,158.600000mm,-85.550000mm,Top,90
R44,156.800000mm,-85.550000mm,Top,90
R45,134.350000mm,-109.250000mm,Top,0
R46,134.250000mm,-111.400000mm,Top,0
R47,167.170000mm,-94.700000mm,Top,180
R48,167.170000mm,-95.600000mm,Top,180
R49,167.170000mm,-91.100000mm,Top,180
R50,167.170000mm,-92.000000mm,Top,180
R51,167.170000mm,-93.800000mm,Top,180
R52,167.170000mm,-96.920000mm,Top,180
R53,167.180000mm,-92.900000mm,Top,180
R54,159.500000mm,-85.550000mm,Top,270
R55,161.300000mm,-85.550000mm,Top,270
R56,162.200000mm,-85.550000mm,Top,270
R57,159.350000mm,-100.250000mm,Top,90
R58,160.200000mm,-100.250000mm,Top,90
R59,163.100000mm,-85.550000mm,Top,270
R60,155.900000mm,-102.650000mm,Top,270
R61,175.150000mm,-135.550000mm,Top,270
R62,170.590000mm,-58.570000mm,Top,180
R63,170.590000mm,-59.390000mm,Top,180
R64,172.300000mm,-84.450000mm,Top,90
R65,184.450000mm,-88.050000mm,Top,0
R66,161.700000mm,-71.800000mm,Top,270
R67,160.800000mm,-71.800000mm,Top,270
R68,189.250000mm,-86.850000mm,Top,180
R69,156.950000mm,-71.400000mm,Top,180
R70,155.200000mm,-71.400000mm,Top,180
R71,189.150000mm,-90.000000mm,Top,180
R72,185.950000mm,-96.950000mm,Top,90
R73,173.900000mm,-84.450000mm,Top,90
R74,184.450000mm,-88.900000mm,Top,180
R75,160.400000mm,-85.550000mm,Top,270
R76,183.460000mm,-85.400000mm,Top,90
R77,184.450000mm,-94.800000mm,Top,0
R78,186.150000mm,-88.050000mm,Top,0
R79,184.450000mm,-92.400000mm,Top,0
R80,184.450000mm,-91.550000mm,Top,0
R81,184.460000mm,-95.600000mm,Top,0
R82,189.100000mm,-137.700000mm,Top,180
R83,184.250000mm,-137.250000mm,Top,90
R84,177.900000mm,-111.200000mm,Top,180
R85,177.900000mm,-110.300000mm,Top,180
U1,175.700000mm,-92.200000mm,Top,90
U2,130.000000mm,-100.000000mm,Top,90
U3,163.750000mm,-79.800000mm,Top,0
U4,189.050000mm,-80.050000mm,Top,270
U5,155.650000mm,-79.800000mm,Top,0
U6,186.970000mm,-92.500000mm,Top,270
U7,172.050000mm,-65.450000mm,Top,270
U8,186.450000mm,-136.750000mm,Top,180
U9,130.000000mm,-90.000000mm,Top,90
U10,130.000000mm,-110.000000mm,Top,90
U11,159.500000mm,-92.900000mm,Top,90
Y1,182.160000mm,-85.340000mm,Top,90
Y2,177.870000mm,-85.100000mm,Top,180
Y3,164.600000mm,-101.950000mm,Top,0
IC1,176.740000mm,-103.780000mm,Top,180
J3,174.900000mm,-53.000000mm,Top,0
